gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3067852641	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72048583	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris		SPECIES	Bombus terrestris (Linnaeus, 1758)	Bombus terrestris		GR		Macedonia and Thrace	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.662224	22.940277							2021-03-25T13:25:00	25	3	2021	1340503	1340503	HUMAN_OBSERVATION	iNaturalist	Observations	72048583		Panagiotis Rafailidis	2021-03-25T22:36:58	CC_BY_NC_4_0	Panagiotis Rafailidis	Panagiotis Rafailidis			2021-04-04T11:37:19.213Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3067770188	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56933781	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lucorum		SPECIES	Bombus lucorum (Linnaeus, 1761)	Bombus lucorum		GR		Epirus and Western Macedonia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.980085	21.110927	8.0						2020-08-19T12:22:00	19	8	2020	1340298	1340298	HUMAN_OBSERVATION	iNaturalist	Observations	56933781		NABU Nordvorpommern	2021-03-23T16:35:36	CC_BY_NC_4_0	Papageorgiou Nikolaos	Papageorgiou Nikolaos			2021-04-04T11:31:40.474Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3061680669	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71501078	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris		SPECIES	Bombus terrestris (Linnaeus, 1758)	Bombus terrestris		GR		Macedonia and Thrace	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.651822	22.969822	488.0						2021-03-18T12:13:00	18	3	2021	1340503	1340503	HUMAN_OBSERVATION	iNaturalist	Observations	71501078		Kostas Zontanos	2021-03-18T18:41:39	CC_BY_NC_4_0	Kostas Zontanos	Kostas Zontanos			2021-04-04T11:06:35.332Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3061601740	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71501132	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris		SPECIES	Bombus terrestris (Linnaeus, 1758)	Bombus terrestris		GR		Macedonia and Thrace	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.651887	22.968535	244.0						2021-03-18T12:18:00	18	3	2021	1340503	1340503	HUMAN_OBSERVATION	iNaturalist	Observations	71501132		Kostas Zontanos	2021-03-18T18:42:39	CC_BY_NC_4_0	Kostas Zontanos	Kostas Zontanos			2021-04-04T11:27:40.921Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3058914425	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/40956697	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	dalmatinus	SUBSPECIES	Bombus terrestris dalmatinus Dalla Torre, 1882	Bombus terrestris dalmatinus		GR		Macedonia and Thrace	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.651497	22.968238							2020-03-29T11:49:00	29	3	2020	10900042	1340503	HUMAN_OBSERVATION	iNaturalist	Observations	40956697		Jelle Devalez	2020-08-11T23:59:50	CC_BY_NC_4_0	Kostas Zontanos	Kostas Zontanos			2021-04-04T11:22:38.894Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3039473638	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/69155513	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris		SPECIES	Bombus terrestris (Linnaeus, 1758)	Bombus terrestris		GR		Attica	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.972343	23.723371	186.0						2021-02-06T15:10:00	6	2	2021	1340503	1340503	HUMAN_OBSERVATION	iNaturalist	Observations	69155513		Stavros Apostolou	2021-02-06T19:32:21	CC_BY_NC_4_0	Stavros Apostolou	Stavros Apostolou			2021-04-04T11:05:54.919Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3039441092	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/69418970	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus argillaceus		SPECIES	Bombus argillaceus (Scopoli, 1763)	Bombus argillaceus		GR		Attica	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.301808	23.817207	28270.0						2020-05-20T12:23:00	20	5	2020	1340531	1340531	HUMAN_OBSERVATION	iNaturalist	Observations	69418970		dactylor	2021-02-11T18:14:47	CC_BY_NC_4_0	Evanna	Evanna			2021-04-04T11:33:08.721Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3039332953	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/69320438	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris		SPECIES	Bombus terrestris (Linnaeus, 1758)	Bombus terrestris		GR		Macedonia and Thrace	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.839644	22.921782							2021-02-09T11:46:00	9	2	2021	1340503	1340503	HUMAN_OBSERVATION	iNaturalist	Observations	69320438		Panagiotis Rafailidis	2021-02-09T20:41:50	CC_BY_NC_4_0	Panagiotis Rafailidis	Panagiotis Rafailidis			2021-04-04T11:05:19.982Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3031958058	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/65591669	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus rupestris		SPECIES	Bombus rupestris (Fabricius, 1793)	Bombus rupestris		GR		Macedonia and Thrace	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.907194	21.824312	31.0						2020-06-21T09:13:00	21	6	2020	1340344	1340344	HUMAN_OBSERVATION	iNaturalist	Observations	65591669		John Ascher	2021-01-21T14:48:03	CC_BY_NC_4_0	yotis	yotis			2021-04-04T11:27:41.798Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3031847074	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66780013	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	dalmatinus	SUBSPECIES	Bombus terrestris dalmatinus Dalla Torre, 1882	Bombus terrestris dalmatinus		GR		Aegean	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.92503	25.435863	8.0						2020-12-19T11:43:10	19	12	2020	10900042	1340503	HUMAN_OBSERVATION	iNaturalist	Observations	66780013		Jelle Devalez	2020-12-29T19:12:01	CC_BY_NC_4_0	surfelife	surfelife			2021-04-04T11:01:38.711Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
