Exp,Group,TotVOL1,SugCon1,SugAmount1,TotVOL2,SugCon2,SugAmount2,Flowers
1a,High,40.20945,30,13.51077729,0.5625,19,0.113292281,1
1a,High,13.8746,33.5,5.297414199,0.0625,27,0.018618531,1
1a,High,22.26155,34.5,8.796754442,0.1875,11,0.021076594,1
1a,High,59.62725,17,10.64087034,0.3125,14,0.045283125,1
1a,Low,29.48145,28,9.153518522,0.21875,30,0.073502188,3
1a,Low,50.1452,19,10.09966951,0.0625,7,0.004419781,1
1a,Silent,28.9286,28.5,9.165206061,0.34375,25,0.093868672,1
1a,Silent,15.63405,26.5,4.559617918,1.5625,16.5,0.269986914,1
1a,Silent,18.86765,29,6.097807502,0.4375,28.5,0.138609461,1
1a,Silent,27.8198,37.5,12.12666821,0.28125,25,0.076801641,1
1a,Silent,45.9062,24,11.97398958,0.4375,25.5,0.122165148,1
1a,Low,22.19635,33.5,8.474713481,0.25,35,0.100468125,2
1a,Low,24.1433,31,8.42476832,0.15625,27,0.046546328,1
1a,Low,24.9313,30,8.377166113,0.125,22,0.02958925,2
1a,Low,21.3825,31,7.461391301,0.0625,27,0.018618531,1
1a,High,59.9982,19,12.08414746,0.28125,12,0.034628625,1
1a,High,19.2413,25.5,5.37283719,0.46875,17,0.083651484,1
1a,High,23.0455,32,8.342563182,0.21875,19.5,0.045329293,1
1a,High,59.7509,15,9.31949725,0.15625,16,0.026118125,2
1a,Low,56.8651,22,13.46076528,0.3125,15,0.048741406,1
1a,Silent,25.00075,23,6.218099037,0.53125,18,0.100870563,1
1a,Silent,46.84775,31,16.34745209,0.3125,21,0.070258906,1
1a,Silent,18.90025,33,7.090929644,0.875,12,0.1077335,1
1a,Silent,26.5563,20.5,5.8139608,0.21875,11,0.024589359,1
1a,Low,9.59625,27,2.858689288,1.96875,20,0.419461875,1
1a,High,47.42935,15.5,7.662193706,0.53125,14,0.076981313,2
1a,Low,29.60915,26,8.451221248,0.5625,24,0.14672025,1
1a,Low,19.24805,32,6.967871092,0.15625,18,0.029667813,1
