Age_group,Year,Value,Total,Percent
15-19,2021,8378,546137,1.5
20-24,2021,70860,552322,12.8
25-29,2021,114592,568972,20.1
30-44,2021,394031,1568356,25.1
45-54,2021,268064,1588260,16.9
55-64,2021,199923,1390489,14.4
over_64,2021,46469,2363273,2.0
15-19,2020,7246,546137,1.3
20-24,2020,61913,552322,11.2
25-29,2020,109798,568972,19.3
30-44,2020,392692,1568356,25.0
45-54,2020,263738,1588260,16.6
55-64,2020,194396,1390489,14.0
over_64,2020,39502,2363273,1.7
15-19,2019,8233,546137,1.5
20-24,2019,63710,552322,11.5
25-29,2019,100349,568972,17.6
30-44,2019,353613,1568356,22.5
45-54,2019,229769,1588260,14.5
55-64,2019,164576,1390489,11.8
over_64,2019,29135,2363273,1.2
15-19,2018,7149,546137,1.3
20-24,2018,58219,552322,10.5
25-29,2018,96427,568972,16.9
30-44,2018,338181,1568356,21.6
45-54,2018,215071,1588260,13.5
55-64,2018,149116,1390489,10.7
over_64,2018,21603,2363273,0.9
